timestamp,error_x,error_y,pan_angle,tilt_angle,delta_pan,delta_tilt
1770649327.4935055,0,0,97.47,80.1,0,0
1770649327.7432442,0,0,97.47,80.1,0,0
1770649327.9932537,0,0,97.47,80.1,0,0
1770649328.2432811,0,0,97.47,80.1,0,0
1770649328.4938402,0,0,97.47,80.1,0,0
1770649328.7432694,0,0,97.47,80.1,0,0
1770649328.994347,0,0,97.47,80.1,0,0
1770649329.2432084,0,0,97.47,80.1,0,0
1770649329.4937348,0,0,97.47,80.1,0,0
1770649329.743186,0,0,97.47,80.1,0,0
1770649329.9948704,0,0,97.47,80.1,0,0
1770649330.2434256,0,0,97.47,80.1,0,0
1770649330.4953094,0,0,97.47,80.1,0,0
1770649330.7441456,0,0,97.47,80.1,0,0
1770649330.9949288,0,0,97.47,80.1,0,0
1770649331.24368,0,0,97.47,80.1,0,0
1770649331.4952812,0,0,97.47,80.1,0,0
1770649331.744476,0,0,97.47,80.1,0,0
1770649331.9954588,0,0,97.47,80.1,0,0
1770649332.2439365,0,0,97.47,80.1,0,0
1770649332.4953318,0,0,97.47,80.1,0,0
1770649332.7442334,-39,0,98.78,80.1,1.3047,0.0
1770649332.9954455,-47,0,100.82,80.1,2.0468,0.0
1770649333.244455,-45,0,102.01,80.1,1.1894,0.0
1770649333.4955323,-33,0,102.05,80.1,0.0346,0.0
